Watershed,dep_names,expl_names,nobs,p.value,r.squared,adj.r.squared,RMSE,statistic,df,r,p,r.sq.adj,r_labels,r2_labels
Willamette,AI_Mod.mean,lulc_evenness,52,0.19243056604296546,0.03373646928085679,0.014411198666474001,0.02217162622290348,1.7457178196381047,1,0.18367490106396314,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,PctDecid2019Ws,52,0.1296292537535068,0.04533866664381103,0.026245439976687268,0.02203811376327055,2.374594270222472,1,0.21292878303275728,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,PctConif2019Ws,52,0.5371394766408617,0.00766432330133473,-0.012182390232638562,0.02246875749929218,0.3861759423400281,1,-0.0875461209953636,n.s.,NA,NA,NA
Willamette,CHON_norm,WsAreaSqKm,52,8.260751938696856e-4,0.20215326097302955,0.18619632619249016,0.015586219290309485,12.668677521924167,1,0.4496145693513831,< 0.1,0.19,r~'= '*0.45,r^2~'= '*0.19
Willamette,CHON_norm,tt_hr,52,0.0034278062946328436,0.1588508251992135,0.14202784170319782,0.016003595164180817,9.44248832181491,1,0.3985609428923179,< 0.1,0.14,r~'= '*0.40,r^2~'= '*0.14
Willamette,CHON_norm,Da,52,0.01589453808663914,0.11081247374736428,0.09302872322231148,0.016454236148145864,6.23110820134696,1,0.33288507588560406,< 0.1,0.09,r~'= '*0.33,r^2~'= '*0.09
Willamette,CHON_norm,lulc_evenness,52,4.5160449473656714e-5,0.28542894731184454,0.2711375262580814,0.014750398536940634,19.972048002650336,1,0.5342555075166233,< 0.1,0.27,r~'= '*0.53,r^2~'= '*0.27
Willamette,CHON_norm,PctDecid2019Ws,52,0.32516920014512807,0.01936510730911459,-2.475905447032467e-4,0.01727964103096336,0.9873760078012459,1,0.1391585689388712,n.s.,NA,NA,NA
Willamette,CHON_norm,PctConif2019Ws,52,6.247667509787347e-6,0.33779187259569127,0.3245477100476051,0.014199671533333194,25.50496276146228,1,-0.5811986515776609,< 0.1,0.32,r~'= '*-0.58,r^2~'= '*0.32
Willamette,normalized.transformations,WsAreaSqKm,52,0.16257964615391082,0.03862619931552862,0.019398723301839116,1.0911789072474831,2.008906384177925,1,0.1965354912363886,n.s.,NA,NA,NA
Willamette,normalized.transformations,tt_hr,52,0.027167866304666048,0.09387218292796168,0.07574962658652085,1.0593623954152258,5.179853281145805,1,0.3063856767669825,< 0.1,0.08,r~'= '*0.31,r^2~'= '*0.08
Willamette,normalized.transformations,Da,52,0.05576050231995855,0.0712491834057187,0.0526741670738331,1.0725052466071647,3.8357534729815175,1,0.2669254266751646,< 0.1,0.05,r~'= '*0.27,r^2~'= '*0.05
Willamette,normalized.transformations,lulc_evenness,52,0.007274012320736142,0.1354193523292721,0.11812773937585763,1.0347908413182085,7.831504943703415,1,0.3679936851758084,< 0.1,0.12,r~'= '*0.37,r^2~'= '*0.12
Willamette,normalized.transformations,PctDecid2019Ws,52,0.44150048854521284,0.01189521574832435,-0.007866879936709203,1.1062450034154259,0.6019207647766319,1,0.10906519036028085,n.s.,NA,NA,NA
Willamette,normalized.transformations,PctConif2019Ws,52,0.05926275388363063,0.06934692424051668,0.050733862725326984,1.0736030326311392,3.7257129453918334,1,-0.2633380417647947,< 0.1,0.05,r~'= '*-0.26,r^2~'= '*0.05
Deschutes,DOC_mgL,WsAreaSqKm,42,0.174759850013622,0.04554764797963486,0.02168633917912577,0.8893916888933261,1.9088495254150941,1,0.21341894943897294,n.s.,NA,NA,NA
Deschutes,DOC_mgL,tt_hr,42,0.26121595916683266,0.03144824185297696,0.007234447899301499,0.89593676310528,1.2987738275605183,1,0.17733652148662712,n.s.,NA,NA,NA
Deschutes,DOC_mgL,Da,42,0.17885665467686698,0.04471300517148611,0.020830830300773373,0.889780478422973,1.8722333880202215,1,0.21145449905709288,n.s.,NA,NA,NA
Deschutes,DOC_mgL,lulc_evenness,42,0.02260857524591985,0.12328608609409876,0.10136823824645125,0.852402844038329,5.62491750791724,1,0.3511211843425269,< 0.1,0.10,r~'= '*0.35,r^2~'= '*0.10
Deschutes,DOC_mgL,PctDecid2019Ws,42,0.20298492021909903,0.04019679165823129,0.016201711449687184,0.8918812609336229,1.675209722529618,1,-0.2004913755208221,n.s.,NA,NA,NA
Deschutes,DOC_mgL,PctConif2019Ws,42,0.01101046832253677,0.15091400921244186,0.12968685944275304,0.8388644274008229,7.109480587353166,1,-0.3884765233736034,< 0.1,0.13,r~'= '*-0.39,r^2~'= '*0.13
Deschutes,number.of.peaks,WsAreaSqKm,43,0.11321705183301484,0.06005631709459598,0.03713086141397637,1010.1634658763294,2.6196346075408883,1,0.24506390410379914,n.s.,NA,NA,NA
Deschutes,number.of.peaks,tt_hr,43,0.4047704777952408,0.016990869695346113,-0.006984962751108936,1033.0456578972314,0.7086665179735335,1,0.1303490302815717,n.s.,NA,NA,NA
Deschutes,number.of.peaks,Da,43,0.36149651791530324,0.02034830908906498,-0.0035456345916895504,1031.2799800954265,0.851609485689657,1,0.14264749941399243,n.s.,NA,NA,NA
Deschutes,number.of.peaks,lulc_evenness,43,0.05867980784303251,0.0844587410342986,0.06212846642537906,996.9645158717244,3.782252682220156,1,0.2906178608315373,< 0.1,0.06,r~'= '*0.29,r^2~'= '*0.06
Deschutes,number.of.peaks,PctDecid2019Ws,43,0.5026986285938297,0.011029961179332734,-0.01309125927970789,1036.1730874385266,0.45727210188482353,1,-0.10502362200634992,n.s.,NA,NA,NA
Deschutes,number.of.peaks,PctConif2019Ws,43,0.003746018259550495,0.18732297676116128,0.16750158595045783,939.2900706389879,9.450546561041945,1,-0.4328082447934212,< 0.1,0.17,r~'= '*-0.43,r^2~'= '*0.17
Deschutes,AI_Mod.mean,WsAreaSqKm,43,0.10925128862518046,0.061361481962055694,0.038467859570886276,0.03443099004814642,2.6802871521862923,1,0.24771249859879027,n.s.,NA,NA,NA
Deschutes,AI_Mod.mean,tt_hr,43,0.3456187050467069,0.02172088872350354,-0.0021395774051915506,0.03515051683256865,0.9103296057314487,1,0.14738008251966583,n.s.,NA,NA,NA
Deschutes,AI_Mod.mean,Da,43,0.31405036829017674,0.024713239183375372,9.257572122381985e-4,0.03509671663374583,1.038917831377086,1,0.15720445026580948,n.s.,NA,NA,NA
Deschutes,AI_Mod.mean,lulc_evenness,43,0.027159413229104923,0.11351026633904243,0.09188856551804336,0.03346086625646196,5.249830588202452,1,0.3369128468002409,< 0.1,0.09,r~'= '*0.34,r^2~'= '*0.09
Deschutes,AI_Mod.mean,PctDecid2019Ws,43,0.29981698615399005,0.02619155350560446,0.002440127981350848,0.035070107201033394,1.102736064362082,1,-0.16183804715086145,n.s.,NA,NA,NA
Deschutes,AI_Mod.mean,PctConif2019Ws,43,0.001034472693526957,0.23333504350573733,0.21463589822538942,0.031117387715574873,12.478380161630385,1,-0.48304766173301966,< 0.1,0.21,r~'= '*-0.48,r^2~'= '*0.21
Deschutes,CHON_norm,WsAreaSqKm,43,0.04594516316241368,0.09366216028720735,0.0715563593186026,0.024204282385376228,4.236994643181176,1,0.30604274258215525,< 0.1,0.07,r~'= '*0.31,r^2~'= '*0.07
Deschutes,CHON_norm,tt_hr,43,0.2622144616637334,0.030557742949825897,0.006912809851041146,0.025032724984415524,1.2923590361689987,1,0.17480773137886627,n.s.,NA,NA,NA
Deschutes,CHON_norm,Da,43,0.16873676612675034,0.04568630921780236,0.022410365540187716,0.024836633696618347,1.9628123289257116,1,0.2137435594767766,n.s.,NA,NA,NA
Deschutes,CHON_norm,lulc_evenness,43,0.021174474894537457,0.1229068454361868,0.10151432947121575,0.023810582261799496,5.745319794896464,1,0.3505807259907295,< 0.1,0.10,r~'= '*0.35,r^2~'= '*0.10
Deschutes,CHON_norm,PctDecid2019Ws,43,0.8943050538058237,4.357101668463036e-4,-0.023943906658352665,0.025418652336640157,0.01787190381088975,1,-0.020873671618723413,n.s.,NA,NA,NA
Deschutes,CHON_norm,PctConif2019Ws,43,3.604003464541266e-6,0.4111977325321627,0.3968367016183131,0.01950885998836524,28.632884017790538,1,-0.6412470136633486,< 0.1,0.40,r~'= '*-0.64,r^2~'= '*0.40
Deschutes,normalized.transformations,WsAreaSqKm,43,0.006546442652454276,0.16681902386775999,0.1464975366450224,1.5081458100964682,8.208996814027834,1,0.40843484653951845,< 0.1,0.15,r~'= '*0.41,r^2~'= '*0.15
Deschutes,normalized.transformations,tt_hr,43,0.006941202298475887,0.16465180064220877,0.14427745431640893,1.5101059880341632,8.081329236742786,1,0.40577309009125856,< 0.1,0.14,r~'= '*0.41,r^2~'= '*0.14
Deschutes,normalized.transformations,Da,43,0.0062291100723681795,0.16865580029662414,0.14837911249898073,1.506482512955763,8.317719441151842,1,0.41067724589587873,< 0.1,0.15,r~'= '*0.41,r^2~'= '*0.15
Deschutes,normalized.transformations,lulc_evenness,43,3.3378348937192627e-4,0.27215334152185766,0.2544009839980005,1.4095925818121762,15.330546444668819,1,0.5216831811759487,< 0.1,0.25,r~'= '*0.52,r^2~'= '*0.25
Deschutes,normalized.transformations,PctDecid2019Ws,43,0.1600973980912538,0.0475497932641292,0.02431930041691288,1.6124817183430669,2.0468697576438606,1,0.2180591508378617,n.s.,NA,NA,NA
Deschutes,normalized.transformations,PctConif2019Ws,43,0.009985484939181341,0.15112931360176438,0.1304251505188806,1.5222796003925083,7.299464991497459,1,-0.38875353837844967,< 0.1,0.13,r~'= '*-0.39,r^2~'= '*0.13
Connecticut,DOC_mgL,WsAreaSqKm,42,0.005745530436923222,0.17557578234672994,0.15496517690539824,1.1320026550289395,8.51871056609704,1,0.41901763966058736,< 0.1,0.15,r~'= '*0.42,r^2~'= '*0.15
Connecticut,DOC_mgL,tt_hr,42,0.017036157289554158,0.13418513353304187,0.11253976187136794,1.1600710644438483,6.199252922537465,1,0.36631289020868746,< 0.1,0.11,r~'= '*0.37,r^2~'= '*0.11
Connecticut,DOC_mgL,Da,37,0.14336481888172323,0.06017380396567035,0.033321626936118065,1.2387422799094334,2.240928320241812,1,0.24530349358635384,n.s.,NA,NA,NA
Connecticut,DOC_mgL,lulc_evenness,42,0.005119743753374626,0.17990806150137018,0.15940576303890452,1.129024448476539,8.775019143864967,1,0.42415570431313343,< 0.1,0.16,r~'= '*0.42,r^2~'= '*0.16
Connecticut,DOC_mgL,PctDecid2019Ws,42,0.026469952196791432,0.11720174651669228,0.0951317901796096,1.1713934942909814,5.310465717585762,1,-0.342347406177836,< 0.1,0.10,r~'= '*-0.34,r^2~'= '*0.10
Connecticut,DOC_mgL,PctConif2019Ws,42,0.9212899779141693,2.471193421541096e-4,-0.0247467026742918,1.2465749835168514,0.009887217008727314,1,-0.01572002996670515,n.s.,NA,NA,NA
Connecticut,number.of.peaks,WsAreaSqKm,45,0.023953442395111362,0.11301797156501832,0.09239048253164661,877.6978130045449,5.478998019689891,1,0.3361814563074803,< 0.1,0.09,r~'= '*0.34,r^2~'= '*0.09
Connecticut,number.of.peaks,tt_hr,45,0.050447247145158663,0.08608878273583216,0.0648350334971306,890.9218493642549,4.05052218170856,1,0.2934089002328187,< 0.1,0.06,r~'= '*0.29,r^2~'= '*0.06
Connecticut,number.of.peaks,Da,39,0.07660633504369287,0.08230188927556624,0.057499237634365374,920.7685303217756,3.3182697747869225,1,0.28688305853703916,< 0.1,0.06,r~'= '*0.29,r^2~'= '*0.06
Connecticut,number.of.peaks,lulc_evenness,45,0.027652814182319,0.10781983842264946,0.08707146257201337,880.2659175549542,5.19654353665201,1,0.3283593129829721,< 0.1,0.09,r~'= '*0.33,r^2~'= '*0.09
Connecticut,number.of.peaks,PctDecid2019Ws,45,0.022203580033017888,0.11576274350624188,0.09519908637847996,876.3387398379818,5.629482284547394,1,-0.34023924451221355,< 0.1,0.10,r~'= '*-0.34,r^2~'= '*0.10
Connecticut,number.of.peaks,PctConif2019Ws,45,0.3764206764246194,0.018238467778814747,-0.004593195761212865,923.4015764860401,0.7988234298757859,1,-0.13504987145056738,n.s.,NA,NA,NA
Connecticut,AI_Mod.mean,WsAreaSqKm,45,0.029682865653972552,0.10525545659932978,0.0844474439621049,0.025683341962497254,5.058409874810967,1,0.3244309735511235,< 0.1,0.08,r~'= '*0.32,r^2~'= '*0.08
Connecticut,AI_Mod.mean,tt_hr,45,0.10199421788527972,0.060973248350276774,0.039135416916562193,0.026311220091458233,2.792092636823947,1,0.2469276176337446,n.s.,NA,NA,NA
Connecticut,AI_Mod.mean,Da,39,0.2285458061180383,0.03893905541269436,0.012964435288713161,0.026486310859173332,1.499119341373683,1,0.19732981379582337,n.s.,NA,NA,NA
Connecticut,AI_Mod.mean,lulc_evenness,45,0.021044831592643663,0.11770147460747987,0.09718290424951415,0.025504087028542975,5.736338962903748,1,0.3430764850692626,< 0.1,0.10,r~'= '*0.34,r^2~'= '*0.10
Connecticut,AI_Mod.mean,PctDecid2019Ws,45,0.08640725410991781,0.06683059719922411,0.045128983180601434,0.02622903123188021,3.079521972046647,1,-0.258516144948868,< 0.1,0.05,r~'= '*-0.26,r^2~'= '*0.05
Connecticut,AI_Mod.mean,PctConif2019Ws,45,0.8872955812204106,4.724805198210924e-4,-0.022772345514601833,0.02714559609839842,0.020326266117087998,1,-0.021736617027980427,n.s.,NA,NA,NA
Connecticut,CHON_norm,WsAreaSqKm,45,0.07960313096047046,0.06974397053955132,0.048110109389308264,0.016664241707735707,3.2238336954828783,1,0.2640908376667984,< 0.1,0.05,r~'= '*0.26,r^2~'= '*0.05
Connecticut,CHON_norm,tt_hr,45,0.010999119415438418,0.14109355364760215,0.12111898512777886,0.01601242986683974,7.063659648396298,1,0.37562421866488066,< 0.1,0.12,r~'= '*0.38,r^2~'= '*0.12
Connecticut,CHON_norm,Da,39,0.002209460967222429,0.2262656405599563,0.2053539011156309,0.015164387244271743,10.820029637532352,1,0.47567388046849524,< 0.1,0.21,r~'= '*0.48,r^2~'= '*0.21
Connecticut,CHON_norm,lulc_evenness,45,0.08746991227789526,0.06639728938954689,0.04468559844511777,0.016694190363014227,3.0581353409778216,1,0.2576767148765035,< 0.1,0.04,r~'= '*0.26,r^2~'= '*0.04
Connecticut,CHON_norm,PctDecid2019Ws,45,0.00878041757865141,0.14916635509295958,0.12937952614163306,0.015937002361357783,7.538669054040586,1,-0.386220604179735,< 0.1,0.13,r~'= '*-0.39,r^2~'= '*0.13
Connecticut,CHON_norm,PctConif2019Ws,45,0.018910278545135557,0.12156799459118635,0.10113934330260932,0.016193412719986925,5.95085759083678,1,-0.3486660215610153,< 0.1,0.10,r~'= '*-0.35,r^2~'= '*0.10
Connecticut,normalized.transformations,WsAreaSqKm,45,0.012831092609516781,0.13555633332327688,0.11545299223777161,1.3341850719322852,6.742975346571373,1,0.36817975680810694,< 0.1,0.12,r~'= '*0.37,r^2~'= '*0.12
Connecticut,normalized.transformations,tt_hr,45,0.0033041614057924317,0.1837523841497682,0.1647698814555767,1.296458715259187,9.680092615290164,1,0.4286634859067986,< 0.1,0.16,r~'= '*0.43,r^2~'= '*0.16
Connecticut,normalized.transformations,Da,39,0.003628257776597736,0.20683779204828903,0.18540097561716173,1.3425790957181745,9.648717789454514,1,0.45479423044745093,< 0.1,0.19,r~'= '*0.45,r^2~'= '*0.19
Connecticut,normalized.transformations,lulc_evenness,45,0.09661433391997544,0.06288170564901562,0.04108825694317875,1.3891365450633932,2.88534901005247,1,0.2507622492501923,< 0.1,0.04,r~'= '*0.25,r^2~'= '*0.04
Connecticut,normalized.transformations,PctDecid2019Ws,45,0.013761661391430152,0.13303574813367364,0.11287378878794518,1.3361287956152679,6.598354150627646,1,-0.364740658733947,< 0.1,0.11,r~'= '*-0.36,r^2~'= '*0.11
Connecticut,normalized.transformations,PctConif2019Ws,45,0.3109972637468424,0.02385993022641484,0.0011589983712151364,1.417763524835881,1.0510551011124998,1,-0.15446659906405294,n.s.,NA,NA,NA
Yakima,DOC_mgL,WsAreaSqKm,193,9.200928275034416e-20,0.3523886511886369,0.34899801585454604,0.3966903530579854,103.92997667592556,1,0.593623324330031,< 0.1,0.35,r~'= '*0.59,r^2~'= '*0.35
Yakima,DOC_mgL,tt_hr,193,5.4750102020438744e-17,0.3080562307529467,0.30443348850557994,0.4100433899375722,85.03399075020052,1,0.5550281351003269,< 0.1,0.30,r~'= '*0.56,r^2~'= '*0.30
Yakima,DOC_mgL,Da,192,7.005658633772572e-10,0.1817757089645396,0.17746926532751084,0.4353018941972582,42.21016789853008,1,0.42635162596680654,< 0.1,0.18,r~'= '*0.43,r^2~'= '*0.18
Yakima,DOC_mgL,lulc_evenness,193,5.692757566632076e-12,0.22040108208407178,0.21631941235676333,0.4352412286614001,53.99777463851918,1,0.46946893622908836,< 0.1,0.22,r~'= '*0.47,r^2~'= '*0.22
Yakima,DOC_mgL,PctDecid2019Ws,193,8.26480540962011e-4,0.057001811012124676,0.05206464771899444,0.4786850269248053,11.545457913340487,1,0.2387505204436739,< 0.1,0.05,r~'= '*0.24,r^2~'= '*0.05
Yakima,DOC_mgL,PctConif2019Ws,193,2.428045023209192e-13,0.24532742100011123,0.2413762556650334,0.4282266573725341,62.08988999324454,1,-0.4953053815577938,< 0.1,0.24,r~'= '*-0.50,r^2~'= '*0.24
Yakima,number.of.peaks,WsAreaSqKm,193,0.5880136365021241,0.0015392652807983062,-0.0036882778329148103,437.8928655122718,0.29445290977332056,1,-0.03923347143445662,n.s.,NA,NA,NA
Yakima,number.of.peaks,tt_hr,193,0.2112913594363505,0.008168803432796207,0.0029759699429156017,436.436692889604,1.5730917328111669,1,-0.09038143300919825,n.s.,NA,NA,NA
Yakima,number.of.peaks,Da,192,0.42141465954287916,0.0034050814852916033,-0.001840154927943649,438.20354830414715,0.6491759793132603,1,0.05835307605680782,n.s.,NA,NA,NA
Yakima,number.of.peaks,lulc_evenness,193,0.11216987087536814,0.013158666935751753,0.007991958385677234,435.33746073194055,2.5468181160638075,1,-0.1147112328229095,n.s.,NA,NA,NA
Yakima,number.of.peaks,PctDecid2019Ws,193,0.2215486864852385,0.007813430370495283,0.002618736288665491,436.5148735085392,1.5041175182625859,1,-0.08839361046192865,n.s.,NA,NA,NA
Yakima,number.of.peaks,PctConif2019Ws,193,0.07280794911738452,0.016753249471719314,0.011605360725498004,434.54387619870545,3.2543922950969906,1,0.1294343442511272,< 0.1,0.01,r~'= '*0.13,r^2~'= '*0.01
